MACaddress,Distance,RSSI
00:19:01:70:86:2f,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-70
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:86:2f,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-66
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-64
00:19:01:70:86:2f,1.5,-70
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-68
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-65
00:19:01:70:86:2f,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-68
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-66
00:19:01:70:86:2f,1.5,-69
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-71
00:19:01:70:84:4b,1.5,-66
00:19:01:70:86:2f,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-59
00:19:01:70:84:4b,1.5,-65
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-62
00:19:01:70:86:2f,1.5,-72
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-66
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-73
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-66
00:19:01:70:86:2f,1.5,-74
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-67
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-69
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-66
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-74
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-73
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-66
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-63
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-74
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-63
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-74
00:19:01:70:84:4b,1.5,-59
00:19:01:70:84:4b,1.5,-67
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-69
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-66
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-72
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-67
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-60
00:19:01:70:84:4b,1.5,-66
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-67
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-73
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-65
00:19:01:70:86:2f,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-60
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-61
00:19:01:70:84:4b,1.5,-67
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-66
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-60
00:19:01:70:84:4b,1.5,-60
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-61
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-74
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-56
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-68
00:19:01:70:81:9d,1.5,-65
00:19:01:70:86:2f,1.5,-73
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-71
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-71
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:86:2f,1.5,-71
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-65
00:19:01:70:86:2f,1.5,-73
00:19:01:70:84:4b,1.5,-61
00:19:01:70:84:4b,1.5,-66
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-71
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-67
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-72
00:19:01:70:81:9d,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-70
00:19:01:70:81:9d,1.5,-71
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-67
00:19:01:70:81:9d,1.5,-70
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-60
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-59
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-71
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-62
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-71
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-69
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:86:2f,1.5,-69
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-71
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-60
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-60
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-62
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-71
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-55
00:19:01:70:84:4b,1.5,-66
00:19:01:70:81:9d,1.5,-69
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-66
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-70
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-70
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-66
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-75
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-71
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-63
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-65
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-73
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-66
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-70
00:19:01:70:84:4b,1.5,-61
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-67
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-74
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-69
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-63
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-65
00:19:01:70:84:4b,1.5,-61
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-68
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-73
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-68
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-66
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-71
00:19:01:70:81:9d,1.5,-66
00:19:01:70:84:4b,1.5,-64
00:19:01:70:86:2f,1.5,-71
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-70
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-70
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-60
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-61
00:19:01:70:84:4b,1.5,-59
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-65
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-71
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-63
00:19:01:70:86:2f,1.5,-65
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-71
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-64
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-65
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-72
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-68
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-64
00:19:01:70:84:4b,1.5,-60
00:19:01:70:86:2f,1.5,-66
00:19:01:70:84:4b,1.5,-63
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-63
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-70
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-67
00:19:01:70:81:9d,1.5,-66
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-69
00:19:01:70:81:9d,1.5,-71
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-70
00:19:01:70:81:9d,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-63
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-64
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-70
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-63
00:19:01:70:84:4b,1.5,-62
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-70
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-63
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-68
00:19:01:70:84:4b,1.5,-62
00:19:01:70:84:4b,1.5,-60
00:19:01:70:81:9d,1.5,-67
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-70
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-64
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-62
00:19:01:70:84:4b,1.5,-61
00:19:01:70:84:4b,1.5,-60
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-65
00:19:01:70:81:9d,1.5,-68
00:19:01:70:86:2f,1.5,-63
00:19:01:70:84:4b,1.5,-62
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-67
00:19:01:70:84:4b,1.5,-61
00:19:01:70:81:9d,1.5,-69
00:19:01:70:86:2f,1.5,-70
00:19:01:70:84:4b,1.5,-62
00:19:01:70:84:4b,1.5,-61
00:19:01:70:86:2f,1.5,-69
00:19:01:70:84:4b,1.5,-64
00:19:01:70:81:9d,1.5,-66
